index;spinTime(ns);eclipseTime(ns)
0;647764479;943854
1;107514010;820105
2;98858646;805677
3;96631719;782604
4;95844375;790469
5;95774375;787656
6;95655937;772865
7;95650209;789739
8;95591718;786719
9;95506719;788958
10;95526875;776979
11;95546094;786250
12;95514323;777656
13;95461614;783594
14;95506406;784844
15;95539011;788333
16;95554739;780104
17;95557604;783438
18;95623855;777500
19;95664374;793490
20;95970886;777344
21;95942291;779896
22;95929011;792396
23;95944323;793125
24;95884114;772500
25;95747552;788750
26;95813073;795521
27;95802396;791094
28;95748646;776354
29;95765104;781510
30;95843333;792136
31;95760052;784792
32;95695521;780990
33;95683906;789532
34;95800052;778438
35;95862552;790469
36;95910782;793593
37;95979010;794010
38;95999531;785677
39;95830938;789427
40;95733385;792135
41;95715937;792969
42;95692188;790937
43;95737865;790104
44;95791666;790521
45;95848438;778333
46;95717968;782500
47;95723386;783802
48;95708489;793073
49;95759271;775260
