index;spinTime(ns);eclipseTime(ns)
0;919770260;1582657
1;148941771;1073177
2;127033333;1014480
3;123566198;1013542
4;122896302;987552
5;122741146;990000
6;122838958;998959
7;122923594;1006667
8;123051719;1000729
9;123084583;1016198
10;123201563;996302
11;123334218;1009427
12;123405938;1000729
13;123423646;1017083
14;123544166;1010261
15;123415990;1022343
16;123486666;998021
17;123417865;1022812
18;123441979;1021927
19;123296927;1004583
20;123377083;1018698
21;123405417;1004427
22;123360677;994115
23;123393958;1020886
24;123374271;1011979
25;123392865;1023333
26;123603697;1027188
27;123741563;1023802
28;123511667;1000156
29;123485468;1024688
30;123556979;996875
31;123458125;1019792
32;123694479;999584
33;123826615;1015469
34;123848385;1016875
35;123783542;1023385
36;123757344;997291
37;123514843;1015313
38;123262188;994948
39;123313281;1010677
40;123603958;1001354
41;123466406;1021563
42;123542865;1001510
43;123534323;1019531
44;123545833;1002031
45;123529792;1023750
46;123616146;1009166
47;123579843;1024688
48;123637344;1017292
49;123747083;1025209
